4938,8025,8872,9165
6136,6414,7046,8023
6785,7770,8033,8305
229,4249,7309,9475,9738
351,3125,7944,9653,9927
509,4117,6935,9580,9859
556,4364,7837,8972,9271
584,5092,6967,9022,9335
902,3652,7949,9099,9398
1113,1709,8704,9596,9878
1330,4009,6405,9489,9767
1419,4039,6180,9553,9809
1476,5445,6939,8427,8713
1830,4036,7348,8598,9188
2145,3208,7541,8923,9183
2372,3356,6695,9127,9450
2398,3410,7515,8543,9134
2660,6402,6416,7737,7785
2679,5590,6858,7545,8328
2956,5842,7060,7074,8068
3766,6112,6769,7047,7306
3778,5622,6932,7091,7577
3791,5736,6037,7488,7948
3955,5621,6937,7096,7391
3974,4994,6096,7814,8122
4260,5240,6394,7334,7772
4634,5223,5786,7546,7811
4919,5563,6155,6817,7533
4947,5801,6158,6790,7304
5576,5610,5858,6883,7073
8,1875,3239,6447,9574,9857
16,1068,3029,8660,8967,9260
62,3607,4163,5942,8470,8756
191,2039,3398,7992,8540,8840
230,4560,5557,5813,7320,7520
239,3440,5280,5814,7321,8906
253,1398,2451,7543,9548,9807
256,2187,5331,7359,7804,8063
269,1439,4115,8125,8395,8657
287,3075,5038,7139,7622,7839
298,823,2520,7861,9604,9894
331,846,3309,6976,9630,9908
361,602,1942,8505,9661,9929
406,668,1634,9128,9452,9712
445,986,3441,6801,9523,9804
575,1120,2253,8731,9000,9321
587,2568,4691,5941,8462,8751
599,2299,4448,6651,8226,8777
646,1994,2362,6359,9684,9955
657,917,3679,6070,9698,9979
707,3520,5125,6978,7202,7468
751,2685,4951,5318,8365,8930
774,2454,4285,5334,8940,9213
801,2765,3018,6200,8963,9253
850,1531,2569,7662,9043,9345
906,2609,4492,7014,7729,8250
1027,2720,3213,7068,8373,8599
1038,1428,2983,7372,8961,9218
1146,1926,2830,7891,8459,8748
1160,2467,3310,7675,7915,8473
1223,1581,3936,7215,8242,8803
1528,2835,3906,7179,7645,7907
1586,1764,1980,6049,9683,9938
1607,1766,3943,5161,9103,9420
1610,3147,3352,5518,8257,9116
1643,2096,3414,5812,8871,9164
1647,3713,5431,5659,7154,7396
1698,2225,3585,7447,7878,8167
1787,2647,4528,6701,7041,8296
1811,2100,2419,7769,8324,8577
1870,2189,4061,5871,8381,8628
1873,2461,3804,6918,7555,8389
1908,3047,3274,6210,8136,8425
1937,2282,3915,7200,7466,8200
2065,2750,5362,5629,7374,7820
2335,2878,3132,6661,7210,8784
2360,3669,3940,5512,7004,8515
2401,3588,4348,4659,7856,8148
2449,3797,5889,6188,6207,6470
2470,3820,5018,5630,6478,7584
2486,3835,4133,6214,6938,7394
2627,3945,4225,4497,7734,7972
2644,3947,4508,4886,7029,7986
2652,4118,4362,5897,6392,7579
2807,3080,5043,5910,6536,7624
2981,5000,5338,5626,5888,6167
3858,3888,5081,5458,5661,7054
3,484,1031,2748,7365,9555,9814
7,264,495,2208,8639,9560,9827
22,284,1096,1454,8689,9582,9873
30,559,809,5439,5906,8974,9283
36,1451,4469,5148,5503,6674,7719
47,1491,1915,4385,6559,8165,8438
48,318,581,5086,5460,9607,9900
50,843,1514,3592,5489,9609,9903
61,1729,2269,4162,4410,9032,9337
76,592,1539,2584,6643,9641,9925
77,885,1190,1941,8492,9062,9353
111,900,1203,3336,6987,9080,9383
119,370,1966,2595,6338,9679,9933
120,623,2905,3349,7234,7957,8812
141,706,2899,6081,6380,7290,7503
152,399,1286,2368,8531,8818,9446
187,664,929,1782,7735,9705,9998
201,423,959,3182,7044,9472,9719
245,2237,4378,4690,5665,6613,7172
258,3692,4241,5217,5521,5784,6287
276,803,2779,3815,7093,7821,8413
293,821,1913,2249,6234,9600,9890
324,2266,3899,4145,5926,6268,8172
338,590,1731,3121,5675,9634,9911
348,1170,1735,3929,5711,8760,9347
376,904,1256,4803,5158,9102,9401
386,1269,3146,3350,5514,8518,8817
402,1287,1619,2037,8290,8536,8829
438,1327,3183,5229,5547,7517,7759
441,1167,3893,5118,5493,6977,7911
443,1386,1651,1822,6412,9498,9788
455,1710,1929,4486,6680,7497,8243
460,1661,1860,2452,6425,8935,9207
503,2939,3508,5492,5673,6270,6615
562,1115,2513,4136,4383,8985,9306
608,1763,2341,5748,6047,7003,7490
691,1325,1797,4245,6100,7994,8848
699,1810,2940,3722,4931,8323,8575
721,1397,2965,4035,4948,8347,8587
762,3143,3226,4222,4793,6346,8508
776,3489,4070,4999,5337,5884,6445
806,2530,3088,4408,4569,7159,8440
842,1726,1918,2524,5922,8735,9333
881,2284,2842,3619,6011,6302,9061
955,2465,2923,3178,6694,7284,7501
961,1678,2601,5764,6053,6682,7261
965,2781,2910,5185,5767,6364,7028
970,2103,2963,3204,4011,8578,9171
989,3134,3343,4209,4479,6617,8229
1057,2972,3185,3598,5095,7453,7640
1137,1513,2265,2825,6609,7634,9017
1299,3083,3264,4254,5914,6246,6940
1426,1672,4324,4689,5663,6261,6965
1475,2239,2786,3275,4660,8139,8426
1567,1741,2873,3334,6308,7486,7691
1571,1752,3934,4208,5498,6327,7710
1637,2649,3720,3962,4550,6742,7740
1659,1825,3787,4570,5300,5823,8036
1660,2152,3210,4268,4584,7064,8062
1690,2836,3096,3308,4423,7457,8190
1692,1895,2234,4652,5013,7383,8131
1719,2813,3081,4139,4672,7158,7418
1727,2446,2588,5496,5730,6033,6980
1770,2008,3457,3459,4848,7498,7960
1911,2906,3670,4224,4815,5750,7724
1940,3122,3333,4165,4740,5495,8205
2388,2934,3179,4243,5219,5523,7514
2591,3215,3643,4433,4783,5130,7205
2655,3292,3560,3802,5542,5635,6514
2970,3462,3495,3812,4644,6191,6426
3293,3295,3590,4142,4388,4667,7625
3435,4264,4272,4557,4586,4896,4990
3636,3932,4181,4640,4731,4751,5129
