3081,3435
1571,9213,9555,9661
4931,7759,8575,8735
8,623,9574,9857,9938
36,3398,7514,9452,9600
47,1797,8543,9719,9894
298,4672,7994,8305,8731
460,1027,8777,9809,9927
556,2470,8257,9271,9446
590,1659,8036,9804,9911
706,2830,7640,9335,9489
707,846,8751,9788,9908
762,2452,8226,9207,9353
801,2601,8243,9102,9253
806,917,8425,9873,9979
881,1170,8760,9548,9641
955,2807,8540,8713,8985
1386,1528,8578,9171,9337
1439,3812,7577,8515,8657
1451,1895,8131,9103,9420
1476,4528,7856,7992,8148
1513,3974,8023,8167,8323
1741,5610,7359,7486,7804
1763,5748,7215,7555,7719
1830,4268,7064,8365,8473
1875,2225,8125,8812,8963
1908,3352,7391,8531,8818
1942,3462,7710,8381,8505
2419,4145,7520,7891,8025
2685,2970,6817,8598,8930
2781,3274,7837,7972,8136
2786,5038,6938,7503,7735
2836,4264,7466,7662,7772
2965,5493,6801,7200,7541
3080,5786,6939,7041,7154
3088,5092,7047,7320,7453
3096,3906,7321,7770,7907
3125,3459,6980,8063,8373
3132,4469,7365,7488,7546
3147,5630,6694,7028,7501
3309,4410,7179,7457,7645
3936,4640,4793,8242,8389
3940,4803,6932,7091,7234
4224,4492,6207,7498,7579
4433,5711,6011,6643,7202
4652,4815,5889,7261,7383
3,111,1203,8940,9814,9929
7,370,902,8961,9827,9933
16,1068,1692,7960,9580,9684
22,399,1610,8689,9582,9698
50,230,441,9609,9767,9903
61,970,1651,8190,9498,9630
76,253,592,9347,9807,9925
141,276,509,9260,9859,9955
187,664,1287,7986,9878,9998
201,1719,4550,7625,7740,8165
239,1160,3778,8033,8328,8462
245,445,1397,8756,9523,9634
287,929,3356,6695,9283,9450
331,1929,2269,7533,8906,9032
338,850,1937,8347,9183,9345
351,599,2299,7545,9553,9653
361,774,2454,7948,9080,9383
423,575,2065,7861,9472,9604
438,581,2265,7634,9475,9607
443,5095,5280,6155,6412,6615
559,1782,3178,6380,8974,9127
562,1787,1913,7304,9128,9306
584,843,1514,8872,9022,9165
602,1672,5498,6188,7811,8229
608,776,1428,7949,9560,9679
646,1607,2234,7729,8817,8967
691,2253,2649,6559,8848,9000
751,1940,4740,6302,8062,8205
821,2039,4383,7396,7624,7737
823,959,1325,8438,9134,9321
842,2524,3083,5663,8871,9017
885,1567,1860,7691,8935,9062
961,1137,2096,7309,9164,9333
965,1727,1811,8172,8577,8748
1096,1454,4848,7284,7584,7734
1113,2644,3075,5635,8704,8829
1115,1634,4136,6392,8296,8427
1146,1647,2655,7769,8324,8459
1167,1531,4570,5675,8470,8587
1269,1766,3943,6359,8250,8413
1539,2451,2842,7468,7785,7915
1690,1764,4348,7004,7374,7820
1729,3440,4011,6790,6976,7054
1731,2145,2679,7334,7911,8200
1915,2520,3588,7044,7418,7515
1918,2825,4249,6402,7159,7447
1941,3334,4272,6180,7068,7205
1966,2208,2341,6338,8508,8639
2239,3275,4508,5217,7139,7622
2335,2748,4208,6426,7073,7210
2360,3669,4644,6200,6447,6680
2372,3560,3692,3947,8139,8290
2486,4378,4886,5439,5521,7290
2569,3607,5300,5823,6287,6414
2595,3652,5148,5884,6047,6674
2647,2934,5523,5659,6536,6701
2779,3670,3815,5629,7014,7093
2939,3410,5542,5801,5914,6394
3146,4362,5161,5514,5764,6053
3182,3293,4385,5458,6742,6940
3215,4285,4634,5334,5871,6661
3295,4388,4557,5229,5922,6609
3592,4254,4408,5665,5813,6268
3619,3791,4165,5842,6167,6416
4245,4690,4919,4938,5547,5661
30,402,809,1619,7839,9596,9705
48,229,318,1327,8440,9738,9900
62,721,1825,2449,6977,8923,9043
77,256,1419,3213,7944,8492,8599
119,264,495,3134,7372,9218,9398
120,1586,1980,2465,7497,7957,8395
152,657,1770,2237,7096,8972,9116
191,293,406,668,8840,9712,9890
258,484,900,2878,8068,8628,8784
269,2720,2873,3143,6918,7003,7074
284,2368,2910,4659,6364,6478,6937
324,1926,2266,4560,6785,6967,7172
348,455,989,2284,7675,9061,9188
376,503,1057,1256,7724,9401,9683
386,803,906,2906,7821,8518,8660
587,904,1491,6081,6514,7029,7394
699,1810,2652,3183,6261,7517,7878
986,3310,3441,4163,4423,6617,7060
1031,2189,2446,5331,5730,6308,6965
1038,1223,1873,2461,5503,8803,9099
1120,1637,2813,3720,6246,7158,7306
1190,2588,2972,4751,4990,6651,6858
1286,3350,3858,4117,5013,6049,6327
1299,3787,4035,4243,4948,5576,6112
1330,2956,3308,3899,5489,6405,6613
1398,3457,3955,4139,4951,5942,6158
1426,1752,2981,3934,6037,6883,6987
1475,1709,1911,2037,5906,8426,8536
1581,1678,2983,3343,4479,7814,8122
1643,1726,3414,3590,5812,6769,7046
1660,1735,2152,2584,6978,7348,7543
1661,2187,3797,4039,5858,6033,6425
1698,3520,3679,4118,5018,5897,6070
1710,2513,3292,4896,5445,5910,6234
1822,1870,3336,4999,5337,6191,6445
1994,2467,3264,3508,5362,6470,6935
