8748,8818,8961
1651,8063,9574,9712
3213,7949,8505,9333
5922,6514,7634,8930
5941,6742,7064,9253
6136,6234,7514,9116
6200,7202,7334,8250
6210,6977,7488,8324
16,5673,5801,7957,9553
955,3147,6785,8172,9938
1643,3309,6932,7759,9353
1770,3349,6938,8365,8578
2644,3018,5576,7948,9814
2786,3356,6346,8033,8473
3440,5185,5503,6643,8229
3462,3893,5823,6651,9171
3955,4448,6033,7074,7490
3,3081,3310,3652,9345,9609
7,484,5000,5458,8122,9929
8,1475,3459,6359,7821,9878
22,1567,3275,5622,8587,9927
30,2467,5092,6478,6939,7994
36,239,5445,6674,7545,9061
47,3132,3560,4163,8777,9321
48,1031,4652,5665,8257,9347
50,706,2963,7662,8492,9127
61,1764,4181,4492,8735,9767
62,1822,4948,5148,7359,9661
76,230,5635,7486,7769,7804
77,3791,4011,5750,6559,8812
111,664,1830,7060,9630,9705
119,2282,5514,5884,6661,8540
120,1810,4133,4362,9103,9472
141,1160,5338,6617,6682,9062
152,3143,3441,3934,8440,9890
187,881,1327,6769,9911,9925
191,2905,2934,6695,8136,8139
201,1660,5460,5675,7041,8963
229,1287,4009,7014,7710,8751
245,762,3336,5897,8972,9788
253,3204,4999,5630,5871,9043
256,1607,4731,5439,7839,9128
258,1027,1787,7044,9080,9804
264,269,2750,7911,8871,8935
276,3915,4383,4584,7383,8459
284,1137,5362,6207,6327,9683
287,1269,2807,7054,8660,8923
293,1619,4385,4469,8425,9809
298,2830,3929,4640,7348,9955
318,1386,2568,6694,8427,9607
324,2835,3636,6978,7503,7724
331,1513,2649,7046,7986,9475
338,1330,4209,4740,9000,9383
348,1719,3598,6967,7234,9134
351,917,4528,7029,7737,8438
361,1634,5748,6883,7068,7306
370,3121,3179,5492,7418,9420
376,2362,2779,6790,7719,8974
386,1659,2461,6394,8829,9271
399,1096,4410,4550,9099,9446
402,2419,2813,6100,7625,9641
406,1672,3414,6801,8068,8639
423,1491,4260,5489,8577,8760
438,902,1203,7158,9580,9719
441,2873,3619,5495,8036,8536
443,3495,3932,6701,6976,7453
445,2335,4751,6049,7691,7729
455,503,4793,5498,8784,8967
460,1915,2981,6426,7520,9698
495,2940,4919,5125,7003,8518
509,1428,4035,6270,7154,9604
556,843,3722,7365,8167,8347
559,2398,4061,5318,7960,8704
562,584,3125,7533,7543,9653
575,1752,5547,6302,7309,7515
581,2145,2910,6180,8381,8803
587,3334,3669,6053,7546,7811
590,691,5240,6167,6412,9900
592,2956,4508,5659,5730,9555
599,657,2983,6470,8985,9306
602,4208,4690,5661,6680,7159
608,668,3643,5130,9213,9738
623,3350,4408,4560,6380,9679
646,1454,3943,5812,8305,8840
699,1113,1419,8165,8756,8848
707,1531,2152,5590,9022,9998
721,2652,4036,4070,8023,9498
751,4285,4634,5942,6188,7200
774,3333,5223,5331,6191,8148
776,1994,2765,6338,7579,9548
801,1146,3713,6011,8598,8731
803,2096,3292,5889,7047,9873
806,1860,1966,6858,7577,9933
809,850,5518,5814,7466,8543
821,1514,1937,5217,9684,9827
823,3075,3185,5431,8190,8296
842,1586,1913,6416,8906,9337
846,1451,4689,5906,7785,8323
885,2748,4245,5018,6940,9164
900,1741,3410,3787,9183,9979
904,3508,4557,5493,5521,9017
906,1980,4268,7028,7321,7497
929,1726,4136,5910,6405,9894
959,1398,3029,6037,7770,9807
961,2781,5219,5610,7139,7290
965,2720,3720,6096,7374,8125
970,2239,3936,4378,8025,9452
986,2452,3183,6937,7622,7820
989,1911,2269,7261,8242,8328
1038,1895,3264,3962,9207,9634
1057,1692,5784,5842,6155,8470
1068,4783,4931,5334,5512,7372
1115,1735,2237,7907,7944,8062
1120,3122,3435,4423,7304,9596
1167,1647,3215,5621,7861,9489
1170,1476,3352,6402,7498,9102
1190,2569,4569,5523,5626,9523
1223,1940,3146,5858,8205,8628
1256,1571,1782,6070,8413,9908
1286,2679,2972,4994,7734,9335
1299,3226,4224,4803,5888,9560
1325,1528,3607,4039,9218,9283
1397,2655,4118,4145,8290,8395
1426,1690,3585,5914,6987,9398
1439,2825,4896,6261,6364,7215
1539,1870,2368,6268,7096,9859
1581,3088,3210,3295,8226,9600
1610,2103,4165,6308,6425,8389
1637,2965,3592,3858,8373,8575
1661,3047,4667,4947,7284,7394
1678,2878,4497,4644,7447,7856
1698,2360,2513,6214,7972,8243
