5043,5897,6191
30,7814,9022,9134
264,8036,8777,8923
318,5871,9873,9938
2187,6617,8536,8660
2249,6402,8598,8751
2299,7740,7839,8122
2360,7770,7878,7992
2467,5661,8872,9000
2530,6967,7960,8543
2970,7348,7734,7948
3143,6478,8136,8243
3183,6200,8190,8427
3204,4011,9333,9452
3210,7488,7543,7759
3619,7073,7584,7724
3943,7060,7306,7691
4222,7028,7041,7093
4254,5629,7986,8131
4815,5300,7891,7994
4948,5926,7486,7640
5130,5659,7501,7710
5229,5842,7284,7645
5338,6425,6769,7468
5362,6327,6940,7365
5489,6033,6980,7498
5493,5889,7200,7418
5663,6302,6939,7096
5675,6081,7029,7215
5711,6338,6937,7014
5813,6308,6346,7533
6207,6426,6615,6742
3,881,7304,8840,8972
16,338,6695,9398,9553
22,1764,5018,9555,9641
36,917,5812,9574,9661
48,592,5621,9814,9925
111,253,5767,9890,9979
120,1513,6701,8760,8906
141,351,5801,9804,9903
187,590,5503,9809,9911
229,2008,4951,9337,9475
245,1741,4181,9878,9955
256,1330,5013,9634,9767
348,806,5158,9788,9900
370,2282,5610,8803,8935
406,2584,4165,9347,9498
438,657,6536,9116,9253
443,1634,7202,8296,8425
455,1203,5590,9306,9446
575,2720,5784,8413,8508
581,1940,5334,9017,9128
602,1115,4497,9857,9929
762,2341,3588,9604,9705
850,3029,3815,9099,9207
929,1782,5081,9043,9165
965,3435,5458,7769,8373
1027,2956,6935,7503,7579
1038,3350,5496,7944,8172
1068,1223,4938,9321,9450
1120,1661,4385,9345,9489
1146,2830,5635,8139,8250
1160,2940,5000,8395,8505
1170,2265,3893,9271,9401
1190,2145,3962,9283,9420
1325,5129,5884,6268,7394
1327,3858,4410,8148,8257
1386,3308,6858,7158,7290
1514,1637,3636,9560,9653
1539,2981,4947,8205,8328
1619,2595,5331,8165,8290
1692,2836,4117,8599,8756
1698,2470,4689,8515,8628
1709,3275,5665,7622,7729
1727,4145,5823,7044,7261
1735,2039,7054,7497,7675
1752,4557,5318,7064,7309
1763,3607,6559,7003,7068
1810,4036,5626,7154,7374
1811,2923,6674,7047,7545
1875,2878,5910,7517,7820
1895,4009,5217,7359,7520
1994,2449,4751,8347,8459
2096,2591,3457,8871,8985
2103,2748,6188,7447,7514
2189,2524,6096,7234,7957
2208,4378,5514,6359,7541
2237,3047,6011,7159,7546
2446,4486,5512,5922,7634
2451,3414,3934,7972,8229
2461,2588,4070,8389,8492
2569,3213,5858,6977,7383
2649,3804,5730,6445,7372
2679,3334,4660,7555,7772
2765,3292,6070,6416,7457
2779,2972,4479,7821,7949
2835,4115,4667,6987,7396
2905,3929,4364,6965,7837
2910,3018,3132,8365,8575
2983,4163,5673,6364,6817
3185,3932,5439,6643,6801
3333,3590,4803,6883,7391
3398,4388,5542,6158,6514
3495,3669,5941,6234,6661
3508,4243,4896,6214,7139
3598,4208,4848,6167,7179
3766,4209,5148,5557,7320
3778,4731,4740,6100,6651
3812,4249,5445,5518,6976
3936,5125,5280,5523,6136
3955,4324,5495,5814,6412
4133,4245,5223,5786,6613
4136,4225,4931,5498,7210
7,77,423,7172,9103,9218
8,331,801,5492,9630,9738
47,1531,3797,4362,8063,8200
50,287,1269,4640,9827,9927
61,1439,1729,5095,8713,8963
62,298,608,5240,9859,9933
76,623,1454,4528,9607,9712
119,664,902,4423,9894,9998
152,361,587,5185,9807,9908
191,484,1426,4634,9582,9683
201,599,1428,4492,9596,9684
230,509,2813,4652,8829,8967
239,1822,2825,4260,8381,8473
258,668,1870,7004,8033,8167
269,699,2627,4691,8784,8930
276,460,1419,4586,9580,9679
284,842,3122,3520,9061,9171
293,961,1286,4162,9600,9698
324,1475,3146,3720,8587,8748
376,707,955,6210,8812,8940
386,1113,1659,4035,9335,9472
399,751,846,5736,9080,9188
402,1731,2037,5118,8242,8470
441,2100,3264,4672,7719,7804
445,2486,3182,4919,7453,7515
495,959,3208,3560,8817,8961
503,1660,1913,4644,8462,8818
556,1918,3713,6155,6680,6978
559,885,2239,3441,9353,9523
562,900,2368,3239,9383,9548
584,809,1397,6053,8518,8639
646,776,986,4264,9609,9719
691,906,1766,5906,8305,8426
706,1647,2644,4241,8324,8438
721,1567,1797,3670,9062,9183
774,1299,1672,3940,9102,9213
803,1491,1860,3459,9127,9260
821,1398,1942,3643,9032,9164
823,1719,3293,5914,6785,7466
843,1911,2906,3410,8226,8704
904,2842,3179,3349,7811,7915
970,1137,1586,4994,8578,8735
989,2873,4433,5547,5888,6270
1031,3652,3915,4990,5942,6470
1057,1528,1643,4584,8531,8657
1096,1651,3295,5431,6790,7737
1167,2253,2372,4272,7911,8025
1256,1787,2647,3802,8068,8440
1287,1451,1915,4039,8577,8731
1476,1678,3974,6180,6287,6405
1571,2568,3585,4783,6447,7046
1581,2452,3134,3310,7662,7861
1607,2939,3592,4550,6394,6918
1610,1830,2685,3945,7907,8023
1690,2465,3147,3336,7577,7785
1710,2152,2401,3352,8062,8323
1726,1980,2284,2781,8540,8689
1770,2513,3096,3906,7091,7624
1825,1926,2065,2362,8848,8974
1873,1941,2609,5038,7205,7334
1908,3835,4408,4999,5086,5764
1929,3888,4560,4690,4886,6047
1937,3226,3489,3722,6694,6932
1966,2419,2899,3356,7625,7735
2225,2335,2652,2807,7856,8125
2234,2655,3692,4793,6246,6380
2266,3088,3787,4448,5337,7074
2269,3080,3440,4268,6261,6682
2388,2601,2963,4118,6609,7321
2398,2965,3899,4224,5576,6938
2454,3215,3820,4659,5460,6392
2520,3309,3679,5161,5219,6112
2660,3121,4061,4285,4383,7490
2750,3125,4348,4508,5521,5748
2786,3791,4139,4570,5092,5622
2934,3075,4142,4469,5630,5750
3081,3178,3343,3947,6037,6414
3083,3274,3462,4569,5563,6049
