4364,4448,4570,4659
4660,5786,6615,6939
4672,6380,6412,6536
4919,4951,5217,5318
4990,5576,6447,6987
4999,6053,6287,6661
5013,5922,6270,6790
5038,6234,6302,6426
5043,5629,6445,6883
5081,6155,6359,6405
5125,5814,6096,6965
5148,5489,6425,6938
5161,5926,6112,6801
5185,5665,6470,6680
5229,5801,6033,6937
5240,5362,6394,7004
5280,5512,6514,6694
5331,5910,6200,6559
5337,5610,6268,6785
5338,5813,6167,6682
5431,5492,5523,5750
5458,5736,6392,6414
5460,5884,5914,6742
5493,5871,5941,6695
5496,5630,5942,6932
5498,5748,6338,6416
5503,5906,6188,6402
5514,6049,6191,6246
5542,5889,6261,6308
5547,6081,6158,6214
5557,5767,5888,6651
5563,5621,6207,6609
5626,5663,6037,6674
5675,5711,6136,6478
5784,5823,6047,6346
3,776,4348,9401,9472
7,881,3619,9705,9788
8,76,4165,9857,9894
16,575,4931,9207,9271
22,239,3812,9929,9998
30,460,3669,9908,9933
36,318,3797,9911,9938
47,402,4035,9712,9804
48,900,3293,9859,9900
50,1120,3652,9574,9604
61,959,3720,9607,9653
62,721,3947,9609,9661
77,331,4644,9450,9498
111,809,4584,9213,9283
119,269,5223,9171,9218
120,441,3722,9827,9890
141,284,4640,9446,9489
152,592,3350,9927,9979
187,706,3560,9738,9809
191,438,4243,9548,9580
201,276,4388,9553,9582
229,803,3088,9925,9955
230,806,3804,9560,9600
245,707,3356,9814,9878
253,1770,3309,9321,9347
256,1782,5129,8395,8438
258,843,4181,9335,9383
264,293,4118,9641,9684
287,1398,4254,9000,9061
298,1908,6210,7770,7814
324,1113,4115,9188,9260
338,1057,4324,9116,9165
348,602,3585,9698,9767
351,1146,4691,8872,8940
361,495,3835,9630,9679
370,970,3134,9719,9807
376,1454,3435,9337,9398
386,821,4586,9080,9127
399,484,4222,9420,9475
406,1672,4036,8923,8963
423,2100,4260,8578,8639
443,965,3906,9333,9353
445,646,3592,9634,9683
455,846,2923,9873,9903
503,762,5092,8803,8840
509,2269,3143,9017,9062
556,584,4209,9306,9345
559,801,4634,8974,9032
562,1299,4272,8906,8961
581,657,3787,9452,9523
587,1428,5000,8470,8515
590,623,3636,9555,9596
599,2008,4938,8205,8250
608,668,4497,9099,9128
664,850,4492,8972,9022
691,1727,4408,8575,8599
699,1256,3778,9103,9164
751,842,5764,8296,8347
774,1731,3598,8930,8967
823,1476,4560,8543,8598
885,1539,4139,8689,8748
902,2239,3334,8713,8812
904,1475,3815,8871,8935
906,1911,3588,8777,8818
917,1643,3204,9102,9134
929,1763,4285,8492,8531
955,3182,4145,7811,7907
961,1741,5842,7719,7737
986,1895,4423,8323,8373
989,1190,4433,8657,8731
1027,1096,3441,9183,9253
1031,2419,5086,7724,7740
1038,1567,3940,8704,8751
1068,1860,3945,8540,8587
1115,2266,3414,8577,8628
1137,2103,3183,8760,8817
1160,1913,3936,8473,8518
1167,2446,4117,8122,8148
1170,1764,3462,8756,8848
1203,1386,4793,8290,8328
1223,1439,3310,8985,9043
1269,1651,4039,8505,8536
1286,1735,4009,8462,8508
1287,2362,5521,7383,7447
1325,2096,4740,7891,7948
1327,1797,4848,7992,8036
1330,2786,4783,7517,7584
1397,1698,3292,8784,8829
1419,2830,4383,7634,7734
1426,1634,4133,8381,8426
1451,2237,3459,8413,8440
1491,2679,4224,7785,7821
1513,1940,4528,7986,8033
1514,1710,4486,8125,8165
1528,2451,3440,8257,8324
1531,1929,4948,7772,7820
1571,2465,3080,8425,8459
1581,1766,4886,7856,7911
1586,2145,4070,8063,8136
1607,1937,4249,8068,8139
1610,1709,5590,7514,7577
1619,1941,4652,7839,7949
1637,2225,4362,7861,7915
1647,1825,3858,8305,8365
1659,2835,4061,7710,7735
1660,3029,4245,7520,7546
1661,1873,4469,7972,8025
1678,2449,4751,7543,7579
1690,2899,3018,8167,8226
1692,2253,2660,8660,8735
1719,1926,4162,8062,8131
1726,2530,3343,8172,8229
1729,2649,3179,8200,8243
1752,2454,4508,7624,7662
1787,1994,5445,7284,7490
1810,2965,3274,7957,7994
1811,2905,4896,7154,7234
1822,1980,3766,8190,8242
1830,2781,3929,7691,7769
1870,2039,3275,8389,8427
1875,2569,3915,7804,7837
1915,2187,4410,7729,7759
1918,2520,4550,7497,7515
1942,3607,3932,7215,7304
1966,2836,3215,7960,8023
2037,2208,5158,7179,7418
2065,3410,3955,7261,7309
2152,3508,3590,7359,7391
2189,3352,4241,7046,7172
2234,2265,3679,7878,7944
2249,2360,5635,6617,7139
2282,3213,4385,7047,7073
2284,2970,5622,6070,7054
2299,2765,4731,7003,7202
2335,2601,4815,7044,7205
2341,2878,3943,7372,7466
2368,3132,3457,7488,7555
2372,2685,3643,7625,7675
2388,2720,5095,6701,7096
2398,2524,3893,7545,7640
2401,3147,3185,7622,7645
2452,3670,4268,6643,6967
2461,3208,3333,7457,7541
2467,3336,3489,7334,7374
2470,2644,3899,7486,7501
2486,2813,4569,7041,7091
2513,3096,3962,7064,7365
2568,3047,3349,7503,7533
2584,3295,4689,6364,7068
2588,2655,3791,7468,7498
2591,3083,3820,7200,7306
2595,3178,5439,5812,6976
2609,2652,4208,7210,7321
2627,3146,4264,6935,7028
2647,2940,3802,7158,7453
2748,3081,5518,5673,6980
2750,2939,3934,7029,7348
2779,2910,4378,6613,7320
2807,3125,4136,6858,7074
2825,2873,4225,6918,7159
2842,2906,5334,5858,7060
2934,3122,4947,6180,6817
2956,2981,3692,6977,7394
2963,3264,5300,5495,6978
2972,4667,4803,5661,5897
2983,3121,3210,7290,7396
3075,3495,4479,6011,6940
3226,3888,4142,5730,7014
3239,3520,5018,5130,7093
3308,4557,4690,5118,6327
3398,4011,4163,5659,6769
3713,3974,4994,5219,6100
