4497,4560
4931,8492,8577
5801,8063,8136
6359,7804,7837
111,4848,8505,8536
152,3962,8923,8963
191,3815,8972,9022
253,3147,9253,9347
264,2189,9738,9809
581,2923,9213,9283
646,3293,9000,9061
657,3264,9017,9062
664,2208,9548,9580
699,4142,8531,8628
751,3636,8784,8829
776,2835,9171,9218
809,3974,8578,8639
843,5280,7891,7986
955,1269,9873,9903
965,5626,7624,7785
1096,3309,8777,8818
1120,2983,8930,8967
1137,3893,8462,8508
1256,2266,9207,9271
1286,4133,8257,8324
1327,4145,8205,8323
1330,3122,8731,8817
1398,4254,8148,8200
1528,4659,7856,7957
1581,6180,6935,7304
1634,4886,7710,7770
1661,3802,8190,8347
1672,2685,8803,8840
1678,4423,7907,7992
1726,1770,9183,9321
1731,2609,8812,8848
1735,4209,7994,8062
1763,5542,7205,7490
1764,3352,8425,8459
1811,3670,8229,8290
1873,4115,7944,8068
1937,4364,7821,7878
2100,5458,7046,7396
2103,4348,7735,7814
2187,4815,7457,7541
2282,4783,7418,7517
2360,5460,6965,7215
2368,4919,7158,7555
2419,2568,8438,8575
2470,5489,6987,7054
2486,4951,7060,7503
2513,4285,7577,7625
2530,2970,8172,8328
2569,4672,7365,7394
2591,3722,7772,7915
2655,5318,6980,7047
2679,2940,8139,8242
2750,6033,6188,7029
2779,5018,7044,7159
2830,5148,6701,7321
2836,3899,7546,7719
2842,4667,7003,7488
2906,5439,6346,7309
2972,3835,7453,7740
3029,4896,6769,7306
3047,3204,7724,8025
3083,4163,7234,7520
3088,5086,6785,7041
3178,5926,6287,6609
3179,3333,7729,7759
3183,5748,6327,6742
3213,3945,7374,7468
3215,3343,7622,7820
3310,3766,7391,7533
3336,3440,7584,7640
3356,4999,6617,7028
3398,5889,6070,6643
3410,4731,6883,6976
3435,3812,7210,7543
3441,4136,6937,7486
3457,3679,7202,7662
3489,5158,6536,6817
3520,4410,6977,7093
3560,4486,6940,7014
3588,4245,6967,7200
3592,3804,7284,7320
3598,5514,5910,6978
3652,5219,6514,6615
3713,3929,7068,7290
3820,5229,6392,6559
3906,4139,6694,7261
3932,5635,6053,6380
3940,4117,6939,7004
3943,4324,6801,6932
3955,4035,6651,7359
4009,5043,6268,6680
4011,4388,6447,7154
4036,4479,6695,6790
4070,5750,5842,6338
4165,5185,6234,6416
4181,5217,6200,6402
4225,5630,5884,6261
4241,5610,5942,6207
4249,5523,6037,6191
4268,4660,6214,6858
4272,5492,6081,6155
4383,5495,5814,6308
4448,4948,5922,6682
4469,5240,5897,6394
4528,5130,6096,6246
4557,4586,6412,6445
4570,5512,5871,6047
4634,4690,5000,5334
4644,5223,5663,6470
4652,4938,5736,6674
4689,5338,5547,6426
4691,5498,5675,6136
4947,5118,5823,6112
5013,5557,5563,5661
5038,5337,5767,5858
5081,5125,5518,6270
5092,5331,5764,5813
5129,5576,5622,5673
5300,5445,5590,5665
5362,5431,5496,5711
3,119,2037,9908,9933
7,484,1660,9911,9938
8,47,2065,9925,9955
16,258,3459,9103,9164
22,902,2341,9337,9398
30,850,1860,9607,9653
36,318,1929,9827,9890
48,331,2461,9560,9600
50,509,1514,9929,9998
61,821,1426,9814,9878
62,351,2452,9553,9582
76,256,2152,9712,9804
77,230,1787,9927,9979
120,801,1586,9705,9788
141,443,2265,9555,9596
187,599,2239,9452,9523
201,276,2253,9609,9661
229,623,1397,9857,9894
239,2963,3295,7734,7769
245,348,1942,9698,9767
269,460,2398,9401,9472
284,885,2595,9102,9134
287,503,1451,9859,9900
293,706,2720,9116,9165
298,584,2467,9306,9345
324,691,2299,9333,9353
338,774,1710,9574,9604
361,1439,1752,9188,9260
370,445,2237,9450,9498
376,1571,2584,8713,8756
386,959,3308,8587,8760
399,587,3619,8660,8735
402,562,1727,9630,9679
406,1167,1709,9335,9383
423,455,1797,9641,9684
438,904,2451,9080,9127
441,1027,1637,9420,9475
495,590,1980,9446,9489
556,1659,2588,8540,8657
559,961,3495,8470,8515
575,929,970,9719,9807
592,2446,2981,7948,8033
602,1068,2524,8871,8935
608,881,2284,9099,9128
668,1287,2039,8974,9032
707,1190,4061,7911,8131
721,823,2644,8872,8940
762,806,1115,9634,9683
803,1113,2647,8689,8748
842,1299,1913,8961,8985
846,2388,2781,7949,8036
900,1875,2372,8413,8440
906,1146,2807,8543,8598
917,1491,1643,8906,9043
986,1057,3334,8250,8373
989,1719,2899,8167,8226
1031,1822,2234,8395,8518
1038,1513,1994,8704,8751
1160,1223,3349,7972,8296
1170,1419,3121,8125,8165
1203,1966,3947,7383,7501
1325,1647,2601,8122,8305
1386,1692,2939,7960,8023
1428,1531,2225,8389,8427
1454,2008,3462,7497,7579
1475,1810,1908,8381,8426
1476,1741,3185,7737,7861
1539,1607,1782,8473,8599
1567,1729,2096,8243,8365
1610,2873,4378,6478,6661
1619,1651,3080,7811,7839
1690,2249,3018,7498,7545
1698,2765,3508,6938,7091
1766,2748,3274,7073,7139
1825,2335,3858,6918,7064
1830,2520,3182,7096,7372
1870,1911,3797,7074,7348
1895,2878,3888,6167,7172
1915,1940,2956,7514,7675
1918,2449,2652,7466,7515
1926,2627,2934,7179,7334
1941,2269,2465,7634,7691
2145,2362,2401,7447,7645
2454,4550,4740,5095,5161
2649,3239,4990,5493,5629
2660,2905,4362,5659,6414
2786,3081,4433,5786,5914
2813,3143,3275,6364,6405
2825,2910,3350,6302,6613
2965,3146,3791,5888,6210
3075,3134,3208,6158,6425
3096,3414,3643,5906,5941
3125,3915,3936,5503,5521
3132,3292,3692,5784,6100
3210,4039,4118,4584,6049
3226,3590,4569,4803,5812
3585,3669,4243,4492,6011
3607,4162,4222,4385,5621
3720,3778,4264,4508,5730
3787,4208,4260,4751,4994
3934,4224,4408,4640,4793
