4117
2873,8963,9164
2972,8985,9043
3652,8536,8812
4245,8328,8427
4803,7724,8473
4919,7785,8296
5748,7517,7735
5922,7306,7772
6609,6938,7453
120,1637,9582,9661
191,4385,8167,8257
229,1822,9353,9596
230,1610,9560,9600
239,3121,8578,9062
264,809,9929,9998
284,965,9857,9894
293,1419,9604,9684
298,1190,9698,9814
318,881,9890,9911
324,1160,9712,9804
331,2685,8923,9061
399,2470,9032,9099
406,1825,9271,9498
423,4039,8165,8373
441,1586,9420,9553
562,2906,8748,8784
602,1581,9345,9472
707,1860,9127,9306
762,2910,8577,8751
776,2899,8508,8817
801,1531,9321,9347
803,1491,9260,9446
821,3213,8426,8540
823,1741,9183,9253
843,2825,8628,8704
906,3899,8023,8172
917,2679,8575,8829
986,1764,8967,9283
1115,1167,9335,9383
1120,2008,8756,9116
1170,2100,8713,9017
1203,2039,8818,8940
1256,3239,8200,8305
1398,3643,7837,8122
1426,1908,8731,8935
1439,3955,7662,7944
1514,2388,8459,8639
1571,1651,8848,8930
1619,3182,7949,8250
1634,3720,7584,8062
1659,4133,7498,7710
1661,3132,8068,8139
1678,2963,8036,8323
1690,2467,8381,8462
1709,2513,8365,8413
1719,2037,8587,8657
1726,2970,7915,8389
1727,3508,7740,8025
1731,3295,7769,8205
1735,4947,7139,7179
1752,2568,8242,8438
1763,2266,8440,8531
1766,3146,7957,8131
1770,3947,7546,7737
1782,4249,7091,7878
1810,4348,7374,7468
1811,2836,8063,8290
1830,5610,6514,7046
1873,5086,6883,7158
1915,4672,7093,7320
1926,2524,8226,8324
1941,4241,7321,7497
1994,5445,6402,7159
2096,4410,7004,7490
2103,4264,7215,7418
2145,3275,7719,7861
2187,2335,7986,8492
2189,3143,7543,8125
2208,3336,7545,7911
2225,5161,6414,7200
2237,2372,8148,8243
2249,3081,7814,7856
2265,2368,7972,8395
2282,3308,7640,7770
2284,3309,7447,7960
2341,3334,7634,7691
2362,4497,6987,7154
2398,3274,7334,7994
2446,2981,7625,7948
2449,2652,7907,7992
2451,4586,6935,7028
2452,3083,7645,7820
2454,4035,7202,7309
2465,3929,7210,7396
2520,2830,7811,7839
2530,5431,6270,6769
2569,3179,7577,7675
2588,4690,6742,6980
2595,3226,7555,7624
2601,2779,7729,7891
2609,5095,6364,6932
2644,5081,6338,6937
2647,4508,6785,7060
2649,3592,7365,7394
2655,5318,6210,6817
2720,3080,7466,7734
2748,5223,6412,6617
2781,4145,6978,7096
2807,3619,7054,7520
2842,5661,6081,6416
2905,3125,7348,7622
2923,2983,7515,7579
2934,5118,6268,6680
2939,4268,6559,7234
2940,3310,7359,7391
2956,4285,6302,7457
3029,3441,7029,7501
3047,3204,7261,7488
3088,5523,6155,6234
3134,5767,5941,6158
3183,3440,7073,7304
3185,5622,5801,6392
3210,3560,6940,7290
3215,4136,6682,6967
3293,3940,6790,6977
3333,3962,6661,7044
3343,5125,5889,6643
3350,4990,6047,6613
3352,3462,7014,7172
3356,4061,6536,7047
3398,3670,6858,7074
3410,3936,6651,7003
3414,5018,5629,6939
3435,5514,5884,6167
3459,3858,6478,7205
3585,5518,5858,6033
3692,3778,6246,7284
3766,3906,6287,7041
3804,4142,6359,6695
3815,3893,6327,6965
3820,4896,6070,6214
3888,4751,6100,6261
3932,4243,6380,6445
3934,5217,5503,6346
3943,4689,5942,6426
3974,4118,6207,6701
4009,4652,5665,6674
4011,4165,5906,6918
4036,5280,5813,5871
4070,5521,5659,5750
4115,4224,6191,6470
4181,5130,5489,6200
4209,5240,5439,6112
4222,5000,5331,6447
4225,4254,6096,6425
4272,4408,5626,6694
4324,5219,5547,5910
4362,4660,5842,6136
4378,5229,5663,5730
4383,4938,5630,6049
4388,4448,4528,4634
4433,4999,5557,6011
4486,4994,5736,5784
4557,5362,5460,5621
4560,4948,5576,5914
4640,5129,5334,5897
4691,4886,5185,5635
4731,5013,5492,5764
4740,5158,5512,5590
4783,5043,5496,5673
4848,5038,5300,5814
4951,5148,5338,5563
3,556,1286,9548,9607
7,201,1027,9827,9938
8,361,751,9925,9955
16,503,575,9927,9979
22,706,1057,9574,9641
30,61,1068,9908,9933
36,1386,1476,8974,9128
47,76,1643,9555,9679
48,970,1325,9207,9450
50,581,657,9809,9903
62,484,961,9705,9788
77,287,929,9807,9900
111,376,902,9738,9873
119,386,850,9767,9878
141,885,1539,9102,9333
152,370,900,9719,9859
187,509,1454,9398,9452
245,1137,1475,8972,9171
253,1660,1692,8660,8735
256,402,1223,9489,9630
258,699,1940,9000,9103
269,584,1528,9218,9401
276,1146,1929,8777,8872
338,599,1327,9213,9523
348,460,959,9580,9653
351,1911,1966,8229,8543
438,989,1942,8760,8871
443,1698,1980,8190,8689
445,592,646,9634,9683
455,774,1269,9165,9337
495,1031,1607,8906,8961
559,668,2660,8515,8598
587,608,721,9475,9609
590,691,1397,9134,9188
623,1937,2419,7503,8518
664,904,1330,9022,9080
806,1038,1513,8803,8840
842,1299,1913,8347,8599
846,955,2269,8425,8505
1096,1428,1870,8136,8470
1113,2234,2299,7533,7821
1287,2253,2591,7383,7486
1451,1875,3096,7064,7514
1567,1672,2461,7541,7759
1647,1729,1787,7804,8033
1710,2239,2878,6801,7372
1797,1918,3812,6405,7068
1895,2584,3598,6308,6615
2065,2813,3802,5926,6394
2152,2486,3349,6037,6976
2360,3264,4423,5458,5495
2401,2750,4163,5498,6188
2627,3018,3122,6053,6180
2765,3590,4364,4469,5812
2786,3607,4162,4659,5786
2835,2965,3489,5823,5888
3075,3178,4479,4931,5337
3147,3588,3797,4793,5675
3208,3520,3915,4815,5542
3292,3457,4492,4667,5092
3495,3722,4569,4570,4644
3636,3679,3835,4139,5711
3669,3787,3791,4260,5493
3713,3945,4208,4550,4584
