42878,67110,80012
51458,61164,77371
55974,65902,68124
40257,74662,75077
46025,70755,73138
47570,70550,70736
49463,62179,78182
56238,61017,72735
57570,61061,71332
52950,60209,76814
58681,60989,70325
57376,64542,68082
59241,60559,70200
59429,63132,67439
59605,64663,65650
55061,57769,77164
55822,60039,74138
57446,65258,67119
58350,59140,72438
45676,68571,75725
54692,64618,70684
58753,61557,69385
45470,68463,76067
55018,59402,75572
40638,73529,74497
59280,60327,70390
48183,64494,77321
49467,66066,74413
50468,61507,76369
36967,75177,77824
55957,63123,70901
59267,60727,70002
232,5203,87810,96755
279,16775,77393,95553
459,3683,86332,99526
695,1894,87904,99507
732,5794,84945,98529
770,4180,86537,98513
785,2623,87588,99004
928,10386,81988,96698
1085,3212,86992,98711
1296,5534,84921,98249
1347,6306,83046,99301
1383,2526,87207,98884
1507,1896,87127,99470
1601,12260,78686,97453
1786,4243,85900,98071
2178,2267,85931,99624
2185,9183,82109,96523
2340,4106,85369,98185
2710,4249,84349,98692
2793,8949,79616,98642
2934,4893,82707,99466
3081,7850,82650,96419
3118,4443,83362,99077
3467,7543,81551,97439
3770,8096,81069,97065
3927,8687,78977,98409
4065,6434,80937,98564
4350,5515,82723,97412
4359,9754,79067,96820
4405,14187,73679,97729
4460,13468,76640,95432
4468,6800,82622,96110
4600,20811,73753,90836
5004,7141,81757,96098
5171,6319,80388,98122
5419,11839,76182,96560
5655,6793,80974,96578
5685,9675,76628,98012
6100,17732,73221,92947
6331,12105,75539,96025
6458,10969,75736,96837
6540,21483,72253,89724
6550,21709,66981,94760
6771,10930,75835,96464
7003,8124,77426,97447
7099,15784,72009,95108
7269,14165,74019,94547
7289,16077,72070,94564
7369,13238,75353,94040
7471,11125,75628,95776
7594,9355,78517,94534
7623,18254,70431,93692
8229,13493,73705,94573
8398,25992,64582,91028
8644,9918,77488,93950
8728,13731,74504,93037
9178,19320,68074,93428
9295,11037,73640,96028
9358,22868,64165,93609
9617,16627,69702,94054
9696,30542,62015,87747
9909,11666,75435,92990
9920,13405,72693,93982
10238,13933,75636,90193
10342,15473,71313,92872
10490,23323,62497,93690
10609,19490,65704,94197
10739,13297,71090,94874
11258,11727,71074,95941
11705,23868,65192,89235
11715,19248,67767,91270
11748,16563,68180,93509
12329,28964,60187,88520
12411,21975,65529,90085
12672,20941,64980,91407
13387,21832,62309,92472
13453,33239,54427,88881
13662,26579,61746,88013
13871,24787,64131,87211
13900,14899,66420,94781
13910,21095,65325,89670
40058,46931,48613,54398
13944,18247,64385,93424
13946,17141,65635,93278
14034,28165,57815,89986
14240,15387,69585,90788
14288,14657,67913,93142
14501,14990,68637,91872
14942,17592,65566,91900
15116,20154,65208,89522
15284,15868,67907,90941
15379,27034,61727,85860
15642,21918,62107,90333
15665,18920,61617,93798
15834,30641,56871,86654
15944,21505,60693,91858
15964,16571,66216,91249
15968,21737,62143,90152
15970,21665,63918,88447
