1737270,93165509,95063549
6006412,84845769,99124342
7028131,87961990,94995630
9667870,81492410,98814270
10286870,80423308,99261324
10688949,82626339,96678964
11159674,87974788,90849211
12683901,78363617,98918789
13374222,85162116,91454361
16775505,79066265,94148226
17223798,83050741,89712134
18934227,72644778,98401590
19152174,76177870,94638306
20232976,78747378,91018212
21485183,79377374,89133703
21819683,81798234,86353577
22341105,69907945,97717252
22754696,82254412,84963999
24058924,76323116,89605473
24752937,80339037,84905541
25303773,72723280,91970300
26096144,68199890,95677018
28014351,71211240,90751597
28417644,62617095,98952373
29457177,64702175,95823350
30856652,70210616,88912406
56820680,60787151,71221554
35850766,66317724,87798932
36043518,69478635,84474772
37452309,65855639,86663552
37531984,73547564,78888944
38652812,74874204,76471605
39123223,59767738,91104810
42732533,48259007,98979565
43781103,60359606,85856294
43881194,66432165,79665779
45646731,57672668,86670407
51917482,62091798,75968306
55985120,65207504,68793367
55988985,66310924,67698220
228337,47277646,59096214,83386257
3125607,44273583,66277530,76302697
3241028,47033470,67524416,72171550
14686984,50934361,52560945,71790310
5477391,23567696,72057197,88883395
25636007,26977681,65952999,71411387
11449471,14690801,69916903,93926536
5311013,48069288,56710901,79887803
7763941,54237103,54506758,73491155
14682727,47145815,62440450,65700116
18185464,41344263,60631016,69824203
12071305,13854570,73788990,90282376
24438593,49975879,54005799,60621775
12329153,15512788,62231892,99913245
12452966,17104819,63636485,96777996
12550748,29903753,73018167,74494226
12581998,21686806,67869823,87831544
12702476,19598273,68072515,89618986
12845313,14794940,79463382,82865282
12845400,16409669,66921060,93820898
12927716,29342886,64580148,83123031
13184626,30356534,59723891,86708739
13184695,29509735,72039335,75250404
13725304,32702758,53360952,90194626
13992499,31008681,62332664,82637002
14138534,40914199,42350628,92594664
14194803,23933019,65607187,86250853
14604414,48178241,59123382,68062142
14650536,42280008,65328230,67730610
14802166,35190073,51417476,88586169
15105794,25112619,67333777,82425463
15113058,43485934,50507757,80879776
15731978,21655770,71210660,81385586
15797707,27028305,64196340,82967944
16188904,17522837,73234687,83050060
16194883,44134595,57712707,71939127
25480082,47192188,52041629,65278330
16746192,29646356,58217746,85375070
15843152,36511369,59506317,78127819
27531143,36598827,42969672,82866682
16598527,22824284,70130787,80435625
18012967,25916958,55172165,90865039
18148566,29183998,59609142,83058065
18398558,22742353,71971046,76881075
18419371,32525919,55642300,83396428
19461788,21805261,65664115,83043699
20407430,32523961,48587467,88470823
20516898,24840081,54537879,90091752
20663436,32563651,53292779,83476432
20843196,27556814,54670237,86903786
21538772,37118340,40760623,90560906
21988359,30292264,64471606,73243647
27619548,40680100,47842022,73840053
29996951,36343853,45266962,78374984
25794103,43919566,53116625,67156643
31767519,33416002,55069759,69744401
25725743,27049286,31809966,87811930
23279731,32764516,54746633,79186975
23488970,30869816,51986193,83645555
30347902,39114675,53286979,67220117
29676476,48517591,53484131,58292698
23734486,33339552,46854376,86051846
36011252,39985338,56698330,57276307
24647611,36533945,48556278,80234589
25670851,38031486,62427616,63861569
26743175,32853682,49196902,81190247
27701204,35802109,53582208,72905810
27449221,41452142,42444940,78624749
27892818,33740474,61162568,67186712
39468518,43417568,44576775,62529042
27176481,39589223,58288860,64925929
39682505,39735073,47866715,62703401
29977273,37601664,40386319,82004678
39784459,47975544,49230898,52979726
17122347,50584243,55975561,66308874
17284107,47079058,52479212,73126170
27004339,39924207,53820458,69229427
40012150,44038931,45507027,60427571
22830620,40525905,47593370,79041238
26303515,40427922,46043425,77200776
27551434,48838972,55646658,57931180
11431133,32355041,67744516,78440866
17041426,36981350,55511542,80445996
24356190,43957697,57272502,64385926
25081296,46134119,50393959,68374117
29996281,40003590,45124686,74867480
30363526,41719965,44225786,73680787
30691197,41951761,48928216,68403505
31227670,50622730,52053148,56068640
31549604,43868456,52130994,62428008
32189993,48733078,51308257,57763979
33875141,45901904,47412384,62778381
35125406,43255652,50148182,61466450
35605844,46489911,47616074,60274049
36538319,45681076,53254541,54515582
37262850,40964961,42379459,69389188
37493747,40119960,51288564,61097644
37679481,47430530,50309345,54562215
37937963,44886252,46764044,60394519
38293977,44239655,51477915,55960996
38803240,38968212,45410559,66797649
38972302,48897295,50413161,51705159
39661498,40631387,44697655,65007034
40071997,41861643,43260559,64788328
26847341,32855332,51084110,79209318
37049290,43835053,50618939,58494543
27860214,43838938,58340789,59936957
406691,29624338,61607349,98356354
788002,13822749,83525550,91845925
875646,6734656,82557848,99816584
932701,35723302,54886207,98428707
985208,29766739,68820007,90423692
1004447,4855982,84171804,99945659
1113922,37149390,65585260,86134480
1312160,48163306,50983531,89514029
1618296,42424525,64339300,81614994
1754087,32149081,68089292,88005786
1871255,22235650,68186171,97695543
2555790,8650034,84884780,93890308
2577591,6089927,82137246,99182346
2580501,26235422,62895433,98266739
2876985,8916900,82345471,95845983
2950187,14949867,73716388,98380858
3087825,26464386,70200782,90222157
3115578,25184473,67411089,94275470
3286137,45027633,60398612,81267147
3298023,38136018,59070873,89483653
3406253,49802070,52404023,84383845
3565770,53749786,54934816,77748048
3614669,37361936,62648229,86372197
3633879,19999734,76580421,89752458
18444632,37289833,65997872,68237114
3422322,38348031,51001435,97215147
3646327,27457702,59710097,99180616
35351266,37763636,41579553,75288726
3763355,5317595,89858161,91041908
3792564,5344248,86810328,94020521
3857969,7838014,78990691,99279520
3867668,11911112,82385226,91802792
4146368,46455732,62024485,77353958
4348003,21073268,77363202,87199942
4487125,18959215,77464771,89064143
4753363,15673586,70990756,98552877
4882032,23780995,66405144,94913795
4984414,19329943,73027516,92629739
5176121,5769801,86278416,92742177
5263320,36408898,71736667,76562628
5299626,41347608,55304632,88037775
5369279,30488741,67307559,86819759
11309808,19744061,65753435,93172865
29670310,32729897,62749574,64846093
35483770,36731132,51309662,66455778
36974851,37788809,43002849,72203857
6739887,34025573,63509322,85710110
5440203,18501064,70179032,95867880
40154020,49668747,50056745,50111131
572882,6571508,83477206,99357382
42010549,42839849,49151315,55971937
10670214,18879207,75678532,84758323
5450544,37783833,66182140,80573186
5460179,9017044,83604298,91902096
5465490,13972854,76162862,94383824
5490715,19244289,73014423,92241484
5523257,9503076,77843964,97122977
5649162,41139730,68201349,74999718
5887153,7112513,79732034,97261383
5927509,33924207,52654697,97477624
6030874,44071267,50073448,89794041
6345607,8872057,78915833,95840061
6544918,24938313,68348379,90166285
6587562,20989474,63023016,99398303
6804457,9318723,73957625,99918640
6935877,29843643,58530136,94673134
6943045,19286256,79532407,84234120
6955848,11066660,74814325,97144767
7174635,40021429,60801079,81981816
7468654,26067834,60886834,95576323
7661390,34285907,65944549,82106411
7773861,16538397,77157442,88521366
7969045,10560287,77318287,94125731
7973185,12010134,73773688,96220719
8096014,16848481,68661401,96379306
8178071,21152436,70336761,90309639
8281352,40734855,54934437,86032760
8335026,14069306,69020455,98552971
8342540,27586757,76230718,77809420
8367605,31663137,55013435,94944270
8399803,11103296,79715324,90767776
8413901,37360551,59461221,84747237
8536844,16524218,81251783,83684891
8576078,47148331,54289626,79957738
8850917,27517704,55525321,98096279
8919101,30517373,61770302,88766654
9007046,40601933,54682146,85696914
