839813992,954892336
892696469,974607206
387098350,418082811
399835290,731629447,750738963
252189538,783289483,790444722
146399021,770214101,782101163
500114535,687542964,702550116
26597099,885081140,988254978
583365321,611420099,666848903
528083321,668861957,686410966
34727436,908499969,956752446
50467478,857672935,991798854
83875043,819214347,996909587
91517721,832121036,976256147
125531562,777756079,996609920
152619845,823819709,923464208
153675270,840586025,905730974
155561615,771410370,972981002
181235223,774168010,944579780
193369916,812577332,894047705
241923968,733856851,924218453
258756011,794652308,846589012
271559171,653428827,974945059
320064971,720813928,859032671
337190467,772088823,790708682
342777607,640949821,916200499
343235271,624655074,932108059
351308308,645498743,903121983
362269019,699369901,838261321
367092327,542043000,990791420
392941404,606263386,900736956
429960357,663116413,806839963
437461554,584457927,878045391
457745012,707422723,734793622
435620546,528276776,936041336
552661455,646334533,700982521
474210826,544584478,881148476
78635475,358155767,598961396,864190301
24770880,65572777,870673179,938956578
51799798,63673274,840840276,943671015
1140738,417750095,716304080,764786878
10818554,74158489,876746931,938215182
3205407,50518514,884439077,961739929
24229222,57062076,820194023,998485229
9893064,269075695,782094654,838819265
12240667,403463964,734136063,750085910
17280102,576722605,637960697,667988483
9523779,70688473,820848112,998890192
66000920,355077716,660074179,818771497
251434682,264656584,530713589,853148412
83759983,488843262,587145037,740136174
371655007,437903119,452632365,637770369
34977437,502230150,639147417,723538056
181963848,304374247,572689394,840924826
43566357,496836371,523606846,835932088
256422613,338067484,585544936,719902265
291941853,403502485,570435762,634056511
56059576,143913160,765080960,934944513
182856886,522597858,571219236,623258496
40317282,81021528,818315473,960269266
89428706,269460606,598192343,942862980
89677019,243547496,705674502,861100348
104892959,255951762,597740003,941308730
105565691,291741216,671683387,830976209
105903279,370731600,689045906,734283581
105926665,208531094,674593876,910913519
106003266,123218411,674786218,995901075
109204223,377707977,511108024,901871958
109837340,200552732,781859352,807667450
113605394,548025658,577413378,660951142
113778055,288710537,686070377,811394232
117639880,165554621,744280777,872437537
121289208,321824628,531200255,925600400
123779630,209395984,639560082,927164720
124374274,246490586,532669357,996458965
126017900,165231743,625610146,983135894
127244473,464848460,564344288,743544172
130004020,318964637,498546988,952380488
130257799,179315105,766401992,823995593
130670789,149873635,781500579,837901505
131728427,132405755,708761007,927005236
131784493,369925147,489859511,908332024
132110808,291773466,721978185,754053813
134117956,196703174,623668592,945499527
134198850,324393293,461116652,980182707
134256063,325159698,604181484,836348365
134700392,276265556,641656547,847367983
135992710,171658348,607213161,985084025
143255400,255086560,596578417,904965956
145064623,242397987,652030326,860495068
146736038,248462950,587191122,917572884
148024506,408420355,627969098,715577545
149252932,322875620,545856743,881905817
152840850,288708904,648159218,810182629
157510128,179890882,637562265,924947677
157534445,214829616,599362054,928187016
164289960,245426318,494089811,996179200
164451604,479176156,559707370,696645469
175368646,295026169,465263798,964233848
179524863,355668103,552992902,811784492
184792278,344035607,644255685,726812495
7935042,464525699,548297791,879228089
179470709,335035045,634156011,751256724
79516282,272737585,679513833,868190917
177573516,243974688,723372156,755045466
185809697,216939356,548880892,948308370
191975422,222189912,529473217,956361132
196816545,233149795,602990208,866932352
197122906,361145457,580132961,761572540
198200330,235901923,481438615,984405564
201868690,498456960,567913767,631676649
202365349,497474610,592191216,607872380
203086081,221270211,552019093,923595707
204112336,547859550,566518627,581404017
204579062,419391227,571679265,704349682
206256283,378197042,430603948,884853665
208929520,258445981,586413210,846141829
213417243,293470549,494265237,898843530
216310559,496664184,580497559,606471110
218160728,250931090,511401056,919486758
218386678,329243525,417161974,935101728
221481139,240199995,514441627,923785427
224114712,388310283,577655032,709863806
225648823,259894403,531209557,883148351
230560707,292766611,478569337,898002032
237660914,294801227,482677140,884785982
238224257,346073821,413563140,902083799
239063347,288216541,468008632,904602652
244127540,477112020,521275725,657450945
248893105,276342398,523552276,851135689
256141039,373133741,546735814,723933670
266191661,362171653,589749883,681841494
273499223,322436566,358919937,945057976
274711310,425625695,521948753,677625095
274918387,344796644,395476834,884691114
280683655,430410020,524263167,664540074
281748636,313601461,450624417,853908819
291976442,388829926,403818103,815260839
299752594,481239848,537949013,581009600
303582797,392151284,426716996,777540337
320356779,410826290,443210629,725505606
399487487,486051662,486470409,516537669
328641315,483013781,539245119,549000495
333281909,343881974,375649214,847078162
334628500,432423906,498821467,634076818
352007615,476707523,517287968,553891295
356135906,423937319,544599926,575285855
360421216,373751321,578654431,587122109
361171525,427427317,449126859,662233562
367864154,388919276,438894595,704253073
383015382,398190452,450251440,668435975
400291245,469106338,488302396,542271654
451116651,457143893,459445241,532267300
87934805,336278501,550426980,925313577
18320708,493656371,554473714,833464579
22450930,197065415,697734830,982692582
27476740,190176734,809545646,872766798
35515344,194788579,693147481,976471276
204803098,265369735,598194301,831591713
45586480,87261883,771515890,995521160
18347824,340705431,723801209,817066220
23265945,462802396,698443049,715387665
23845950,108725415,819783204,947614736
33245934,529730979,584969614,751949968
99824616,137768459,699132161,963227952
21964771,308165017,624237515,945586650
151622652,311693489,656706784,779972809
328953386,340181691,377822612,853037272
7616451,108369778,837321242,946626881
10583347,540256851,666371171,682787483
11731385,368471993,740719014,779022287
14897846,223414004,705064421,956579347
17426847,194270029,692493353,995789071
27926688,299870712,685624505,886514658
192952374,430865870,631527544,644652903
8911116,199614457,728140597,963270301
181069124,307564877,454090264,957201375
30496670,401331455,601398129,866731136
40453422,183848243,713928337,961662425
127185418,372190527,682600021,717952144
7227594,534012641,560284325,798442938
99382788,361084705,505669796,933802783
40663447,377623066,563463427,918161537
129990600,320035806,718310954,731574865
191906153,353438475,621866971,732779222
69584117,261887799,622311735,946134549
94204732,404209860,422562838,978976418
48532967,151740727,699809972,999839080
294174989,310632689,568475004,726650648
42940204,150437139,805564842,900986407
