502230150,997741825
502496389,990791420
508815727,984405564
509107541,985084025
514035710,978976418
518819476,969273347
523606846,974945059
529473217,964233848
539245119,956579347
542271654,951504995
543137622,954892336
543350194,956361132
546735814,947614736
550238636,938215182
550426980,938956578
553212552,944579780
553229939,945057976
553891295,945499527
571219236,925600400
571679265,927005236
572689394,927164720
579697715,917519305
580132961,917572884
580497559,918161537
583681166,914417711
587191122,911607280
592191216,904602652
593770507,904965956
597740003,900736956
598192343,900986407
601398129,895853868
602990208,896774424
607872380,889065125
614728242,884439077
615216912,884691114
624237515,872514570
624655074,872766798
631448271,866932352
631527544,867527349
631676649,868190917
640949821,856749384
641049011,857672935
646334533,853148412
652030326,846589012
657450945,840287677
658843290,840616339
660951142,837321242
662233562,837364892
666371171,831591713
666848903,832121036
674593876,824663815
678551396,819214347
679223851,819783204
679513833,820194023
682787483,815260839
687542964,811394232
700982521,798442938
707422723,792020329
715577545,783289483
718799367,779972809
721978185,775021380
726650648,771410370
726812495,771515890
731629447,765080960
732396074,765367576
732779222,766244176
735484129,761572540
743544172,755854649
3205407,523088242,972981002
7935042,492869447,996609920
8911116,493656371,996909587
10583347,521948753,966848381
10818554,486470409,999839080
12240667,488843262,995901075
17280102,492343620,988254978
17426847,516649887,963227952
18320708,517287968,963270301
21964771,484478867,991881257
22450930,476707523,998890192
23845950,522777339,950104603
33245934,544599926,919486758
34727436,522597858,941308730
34977437,529730979,932108059
39795532,497474610,961662425
40317282,506249045,952879199
40453422,481438615,976256147
40663447,482677140,976471276
42940204,509173065,946134549
43566357,474210826,980182707
45586480,495895699,956842558
49601794,504275740,942862980
50467478,514441627,933802783
50518514,531209557,916200499
50838962,568475004,877911785
53183871,559071058,884853665
53914131,535333802,907766893
54901110,606471110,838261321
54911746,496094981,948308370
56034536,540256851,901871958
56059576,457745012,986049681
57062076,516537669,924218453
58265146,554473714,884785982
62094406,452992135,982692582
63577207,552661455,881905817
63834548,531200255,902083799
63858382,498456960,934456114
64422925,498546988,934944513
65572777,498821467,935101728
66000920,528083321,905730974
66519815,511108024,919329643
70688473,454516652,972019623
74158489,548025658,876746931
75341195,570435762,853908819
78140375,462802396,956752446
78635475,511401056,908332024
78922086,512377727,908499969
79516282,496664184,923464208
81021528,583365321,833464579
83759983,489859511,923785427
83875043,578654431,835932088
84954345,548297791,866731136
86134737,532669357,878045391
87261883,604181484,807667450
87281306,528276776,881148476
87430094,529467692,881276198
87563142,454090264,957201375
87934805,563463427,847078162
88637092,598194301,811784492
89677019,542043000,865834473
91517721,682600021,723372156
97490546,581404017,818771497
99382788,505669796,892696469
99824616,505781351,893772266
99883300,437461554,961739929
103581994,617102584,777540337
104232029,639560082,755045466
105903279,464848460,928187016
106003266,609505091,782094654
106142974,541678672,851135689
106539817,589749883,801899989
108369778,548880892,840840276
108725415,549000495,840924826
109204223,544584478,846141829
112206417,545856743,839813992
113778055,611420099,774168010
117639880,567913767,812577332
118304091,627969098,751949968
119320603,639147417,740719014
121289208,586217680,790444722
125531562,576722605,794652308
126017900,577413378,795000700
127185418,588108429,782101163
127244473,668861957,702550116
129990600,672212069,696645469
130004020,649533184,717952144
130670789,536851927,830976209
131728427,607213161,758557402
131784493,583224528,781859352
132110808,443210629,923595707
134117956,524263167,840661396
134198850,437903119,925313577
134256063,621866971,741338171
135413627,664540074,699132161
135992710,477112020,886514658
144782033,528039439,823995593
145064623,472976533,879228089
146399021,452632365,898843530
149252932,668435975,681838306
149647484,465292833,883148351
150135888,584457927,764786878
150437139,650298140,699184753
151740727,581009600,766401992
155561615,644342281,699809972
157510128,577655032,761890328
158940668,653428827,685624505
165099201,464525699,870207268
165231743,552019093,781500579
165554621,623668592,709863806
176723308,417161974,903121983
179470709,596332137,723801209
181069124,582818388,734283581
181963848,329243525,988397277
182117125,566518627,751256724
182856886,310632689,998485229
189244390,560619060,747398542
191301864,344035607,959718193
191975422,625610146,681841494
197065415,441717100,860495068
198200330,435620546,864190301
199614457,403463964,894047705
200552732,637960697,660074179
202365349,343235271,943671015
204112336,486051662,809545646
204579062,422562838,870673179
208531094,468008632,820848112
209395984,584969614,704253073
213417243,641656547,644652903
214829616,427427317,855629425
215120229,586413210,698443049
216939356,399835290,881628996
221270211,230560707,995521160
235901923,437668082,823819709
238224257,483013781,777756079
239034574,596578417,663116413
239642192,537949013,719902265
241923968,623258496,634156011
243974688,500114535,718310954
244127540,245426318,995497461
248462950,440334493,810182629
250725021,496836371,750738963
250931090,413563140,834771912
251434682,425634508,821250959
256141039,523552276,715387665
256422613,265369735,974607206
258756011,425625695,812288415
259894403,599362054,637770369
261808474,450624417,784937970
261887799,419261008,817066220
263061149,406223676,829218194
271559171,552992902,636857816
275104496,276265556,946626881
281748636,461116652,754053813
288710537,586549829,622311735
289549935,575285855,634076818
291773466,291976442,910913519
292766611,532267300,671683387
294174989,598961396,606263386
296679591,299752594,900678646
303582797,521275725,674786218
307564877,430865870,759075050
309977834,449758851,739445580
313601461,375649214,809118040
318964637,421567427,757072698
320035806,478569337,699369901
321574712,321824628,853037272
328273428,377707977,793273671
328641315,328953386,840586025
338067484,423937319,734793622
342777607,344796644,805564842
346073821,408420355,744280777
353438475,425262217,720813928
355077716,402956028,738718818
355708243,403502485,740136174
362269019,547859550,587122109
372190527,392941404,731574865
377822612,400291245,719980481
387098350,395476834,716304080
387491804,404209860,705064421
1140738,11731385,488302396,995789071
218160728,280683655,303007366,500940087
7227594,14897846,481239848,996179200
7616451,26597099,468416959,996458965
9523779,59470798,437971356,991798854
9893064,30496670,494265237,964959682
18347824,94204732,451116651,936041336
23265945,62964796,430603948,983135894
24229222,35515344,479176156,960269266
24770880,71955778,449126859,952380488
27476740,75146614,469106338,924947677
27926688,51799798,472498623,945586650
29248751,75380701,494089811,898002032
48532967,274918387,337190467,838819265
50149146,71328209,530713589,847367983
55940942,105926665,465263798,872437537
57801304,143913160,459445241,836348365
61306554,123218411,429960357,885081140
63673274,206256283,457143893,772088823
69584117,105565691,438894595,885227946
70361044,98702172,410826290,919729362
89428706,132405755,392151284,883567610
92640097,179315105,418082811,806839963
95549521,185809697,398893097,818315473
98857616,269075695,269460606,861100348
102067471,192952374,426716996,776779301
104892959,134700392,419391227,837901505
108179914,127491937,450251440,813004821
109837340,188290103,430410020,770214101
111310589,152840850,388829926,846851080
113605394,258445981,412217433,713219090
123779630,336994509,359129011,677625095
124374274,148024506,368471993,859032671
130257799,194788579,438482185,733856851
132440083,157534445,458095982,751336659
137768459,333281909,334628500,693721699
139795218,197122906,432423906,728140597
141022669,266191661,361171525,728634500
143255400,280359645,383015382,693147481
146736038,216310559,399487487,734136063
149873635,340705431,371655007,637562265
151309817,237660914,403818103,704349682
151622652,272737585,375519385,697734830
152619845,247288227,534012641,559707370
153675270,181235223,411946208,750085910
164274550,183957170,426731110,723538056
164289960,388310283,401331455,545488967
164451604,273499223,336278501,723933670
171658348,265762499,370731600,689045906
175368646,218570729,381858854,720921909
177573516,183848243,201868690,933719464
179524863,203086081,324393293,790708682
179890882,225648823,367864154,725505606
184792278,322436566,328522804,658576756
190176734,295026169,369925147,644255685
191906153,291941853,320356779,692493353
193369916,356135906,364848013,585544936
194270029,223414004,398190452,683099776
196703174,239063347,377623066,686070377
196816545,264656584,351308308,686410966
204803098,248893105,388919276,656706784
208929520,252189538,255557341,782200777
218386678,233149795,378197042,667988483
221481139,311534755,319755739,645498743
222189912,255086560,373751321,648159218
224114712,294158789,358919937,622160503
228047871,256396003,304926363,708761007
233268635,242397987,308538324,713928337
